PZN;Artikelname;DF;PM;PE;Herstellerk¸rzel;Lager;Bestand;EK;EEK;AVK;VK;EVK;Preisaktion;AP;Kalkulationsmodell;AM;DC;MP;LM;KM
11885622;CRATAEGUTT HERZ KREISLAUF;FLE;100;ml;SCHWA;ja;2;18,75;14,29;31,90;31,90;31,90;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
11885616;CRATAEGUTT HERZ KREISLAUF;FLE;50;ml;SCHWA;ja;1;10,77;9,37;18,95;18,97;18,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
17819690;CREAM FLUID MATTIFY;CRE;30;ml;PRIMA;ja;1;15,21;14,44;25,95;26,00;25,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
3005682;CREMOPHOR RH 40;;100;g;INTDR;ja;0;0,00;6,85;10,15;0,00;10,15;;0,00;;nein;Ja;Nein;nein, kein Lebensmittel;Nein
16819274;CROM OPHTAL SINE EDB;ATR;30X0.5;ml;WINZE;ja;1;4,81;4,67;8,98;8,98;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
1746517;CROMO RATIOPHARM KOMBIPACK;KPG;1;P;RATIO;ja;1;7,11;6,37;13,25;13,28;13,25;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2913555;CURAPOR TRAN WUNDV ST 10X8;PFL;5;St;LORAU;ja;3;8,14;2,65;6,30;0,00;6,30;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
2913124;CURAPOR TRAN WUNDV ST 7X5;PFL;5;St;LORAU;ja;3;4,10;1,35;3,50;0,00;3,50;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
10757052;CURAPOR WUNDVERB ST 10X8CM;PFL;5;St;LORAU;ja;1;7,23;3,78;6,35;0,00;6,35;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
10757170;CURAPOR WUNDVERB ST 5X7CM;PFL;50;St;LORAU;ja;1;26,63;11,20;36,95;0,00;36,95;;0,00;MedProd;nein;Nein;Ja;nein, kein Lebensmittel;Nein
16166429;CURAPROX CPS 08 PRI REFILL;ZBU;8;St;CURAD;ja;2;7,12;5,47;8,90;8,90;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Nein
10014776;CURAPROX CPS 409SET08PRI+;;1;St;CURAD;ja;1;6,32;6,11;7,90;7,90;7,90;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
679380;CURAZINK;HKP;20;St;STAGM;ja;8;6,06;4,35;9,95;10,18;9,95;;0,00;VK/UVP (abgerundet auf ,95);ja;Nein;Nein;nein, kein Lebensmittel;Nein
679405;CURAZINK;HKP;50;St;STAGM;ja;5;12,11;9,25;19,15;19,17;19,15;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
14037231;CURCUMIN LOGES PLUS BOSWEL;KAP;60;St;LOGE;ja;1;22,44;20,95;32,95;32,95;32,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;ja;Nein
9755651;CUTIPLAST 10X19.8 PLUS STE;VER;1;St;SMITN;ja;2;3,16;1,36;2,35;0,00;2,35;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
9732644;CUTIPLAST 10X7.8 PLUS STER;VER;5;St;SMITN;ja;1;10,17;4,45;7,45;0,00;7,45;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
9732578;CUTIPLAST 10X7.8 PLUS STER;VER;55;St;SMITN;ja;2;100,90;42,15;0,00;0,00;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
9732638;CUTIPLAST 5X7 PLUS STERIL;VER;5;St;SMITN;ja;4;4,22;1,93;2,85;0,00;2,85;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
1498580;CYCLOTEST KURVENBLATT F 1;;1;P;UEBE;ja;1;0,40;0,40;0,70;0,00;0,70;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Nein
13513014;CYCLOTEST SCHW FRUEH 10MLU;TES;1;ST;UEBE;ja;1;5,49;5,02;8,90;0,00;8,90;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
13513020;CYCLOTEST SCHWANGER 25MLU;TES;1;ST;UEBE;ja;1;2,99;2,17;3,95;0,00;3,95;;0,00;MedProd;nein;Nein;Ja;nein, kein Lebensmittel;Nein
7114824;CYSTINOL AKUT DRAGEES;UTA;60;St;MEDAR;ja;7;14,39;10,25;24,45;24,49;24,45;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2948973;CYSTINOL N LOESUNG;LOE;100;ml;MEDAR;ja;1;9,65;9,07;16,95;16,99;16,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
14186132;CYSTUS 052 BIO HALSPASTILL;PAS;66;St;DR.08;ja;2;9,05;7,95;14,65;14,68;14,65;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;ja;Nein
2936289;CYSTUS BIO PANDALIS TEEKRA;TEE;50;g;PANDA;ja;1;5,18;4,65;8,15;8,15;8,15;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;keine Angabe;Keine Angabe
1610137;D FLUORETTEN 500;TAB;90;St;ZENTI;ja;1;3,10;2,94;5,95;5,97;5,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
258738;DALLMANNS SALBEIBONBONS;BON;20;St;DALLM;ja;3;0,89;0,69;1,00;0,00;1,00;;0,00;;nein;Nein;Nein;keine Angabe;Nein
3531896;DALLMANNS SALBEIBONBONS ZF;BON;20;St;DALLM;ja;3;1,20;0,71;1,20;0,00;1,20;;0,00;;nein;Nein;Nein;keine Angabe;Nein
2629587;DAMIANA D 4;TAB;80;St;DHU;ja;1;6,90;6,25;12,85;12,89;12,85;;0,00;VK/UVP (abgerundet v2);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1749705;DAMMASSAGEOEL;OEL;20;ml;BAAPO;ja;2;5,79;5,49;8,95;8,95;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
16790524;DAOSIN;TAB;10;St;STAGM;ja;6;10,44;9,28;13,95;13,98;13,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;ja;Nein
15397463;DARMFLORA PLUS KINDER+FAMI;PUL;68;g;WOLZ;ja;1;17,77;17,17;25,90;25,90;25,90;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;ja;Nein
17819709;DAY CREAM ULTIMATE NEW AG;CRE;30;ml;PRIMA;ja;1;22,81;21,66;38,95;39,00;38,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
10068950;DEKRISTOL 1000 IE;TAB;100;St;MIBE;ja;37;4,65;2,34;8,65;8,69;8,65;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
10068921;DEKRISTOL 500 IE;TAB;100;St;MIBE;ja;35;3,88;2,13;7,45;7,49;7,45;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
10818546;DEKRISTOLVIT D3 2000 IE;TAB;120;St;HU2;ja;1;11,24;9,95;17,84;17,84;0,00;;0,00;;nein;Nein;Nein;ja;Nein
10818523;DEKRISTOLVIT D3 2000 IE;TAB;60;St;HU2;ja;2;5,65;4,54;9,55;9,56;9,55;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;ja;Nein
10818581;DEKRISTOLVIT D3 4000 IE;TAB;60;St;HU2;ja;1;11,46;10,33;18,20;18,20;18,20;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;ja;Nein
11709687;DEKRISTOLVIT D3 5600 I.E.;TAB;30;St;HU2;ja;1;9,25;7,60;14,65;14,68;14,65;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;ja;Nein
3556643;DENTINOX GEL N ZAHNUNGSHI;GEL;10;g;DENTI;ja;3;4,39;3,64;5,95;5,99;5,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1872512;DEQUONAL;LOE;200;ml;KREUL;ja;4;5,05;4,39;9,40;9,44;9,40;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
8002990;DER NEUE DUFTF‹HRER;;1;St;PRIMA;ja;1;5,36;0,00;8,00;8,00;0,00;;0,00;;nein;Nein;Keine Angabe;keine Angabe;Keine Angabe
17363480;DERMASEL CREMEDU BLUETENTR;XDG;200;ml;FETT;ja;1;4,03;2,73;5,45;5,99;5,45;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
17363497;DERMASEL PFLEGEDUS SO FRI;XDG;200;ml;FETT;ja;1;4,03;2,73;5,45;5,99;5,45;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
17438723;DERMASEL TM BADES BLUETENT;KPG;1;P;FETT;ja;1;2,68;2,68;3,95;3,99;3,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
13897546;DERMASEL TM SCHA KOER ARGA;SCH;200;ml;FETT;ja;0;4,70;0,00;6,99;6,99;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
8011687;DERMASEL TMS  OLIVE;KPG;1;P;FETTP;ja;1;0,00;1,94;3,95;0,00;3,95;;0,00;;keine Angabe;Keine Angabe;Keine Angabe;keine Angabe;Keine Angabe
7596355;DERMASEL TMS AKTIV WAE SPA;KPG;1;P;FETT;ja;0;2,68;2,00;3,95;3,99;3,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
10094870;DERMASEL TMS ERKAELT SPA;KPG;1;P;FETT;ja;6;2,68;1,73;3,95;3,99;3,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
10094887;DERMASEL TMS GEL MUSK SPA;KPG;1;P;FETT;ja;5;2,68;1,94;3,95;3,99;3,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
7390197;DERMASEL TMS GOLD EXKLUSIV;KPG;1;P;FETT;ja;1;2,68;2,05;3,95;3,99;3,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
7389811;DERMASEL TMS LAVENDEL SPA;KPG;1;P;FETT;ja;5;2,68;1,94;3,85;3,99;3,85;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
7390122;DERMASEL TMS MANDEL SPA;KPG;1;P;FETT;ja;1;2,68;2,25;3,95;3,99;3,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
7388645;DERMASEL TMS MILCH+HON SPA;KPG;1;P;FETT;ja;3;2,68;1,94;3,95;3,99;3,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
11346730;DERMASEL TMS PEACE LIM ED;KPG;1;P;FETTE;ja;2;2,02;1,62;2,95;3,03;2,95;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
7588019;DERMASEL TMS PUR;SLZ;500;g;FETT;ja;1;1,67;1,39;2,45;2,49;2,45;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
17446964;DERMASEL TOT ME GESCH BLUE;KPG;1;St;FETT;ja;0;6,04;5,85;8,85;8,99;8,85;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
2935195;DERMASENCE ADTOP CREME;CRE;250;ml;P&MCO;ja;1;14,23;13,32;21,50;21,50;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
2935232;DERMASENCE ADTOP CREME;CRE;50;ml;P&MCO;ja;7;4,85;3,81;7,50;7,50;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
17867393;DERMASENCE ADTOP MEDI SHAM;SHA;200;ml;P&MCO;ja;1;8,98;8,98;13,50;13,50;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
4320813;DERMASENCE ADTOP PLUS;CRE;100;ml;P&MCO;ja;1;9,90;9,16;14,90;14,90;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
976913;DERMASENCE AHA BODY LOTION;LOT;200;ml;P&MCO;ja;1;17,03;14,81;26,30;26,30;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
11871726;DERMASENCE ALOE VERA ACTIV;GEL;75;ml;P&MCO;ja;6;9,52;7,48;14,50;14,50;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
9669207;DERMASENCE BARRIOPRO;EMU;50;ml;P&MCO;ja;1;17,66;14,30;26,90;26,90;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
10789106;DERMASENCE BARRIOPRO WU+NA;EMU;30;ml;P&MCO;ja;1;10,18;9,52;15,50;15,50;0,00;;0,00;VK/UVP (abgerundet auf ,95);nein;Nein;Nein;nein, kein Lebensmittel;Ja
12404978;DERMASENCE CRE SOFT LSF 30;CRE;50;ml;P&MCO;ja;0;11,95;10,88;18,20;18,20;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
7366661;DERMASENCE CREAM SOFT;XPK;50;ml;P&MCO;ja;0;10,64;8,62;16,50;16,50;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
16913079;DERMASENCE HYALU TAG LSF50;EMU;50;ml;P&MCO;ja;7;15,69;12,33;23,90;23,90;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
17587185;DERMASENCE HYALUSOME AUGEN;AUC;15;ml;P&MCO;ja;4;13,30;10,45;20,20;20,20;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
17621723;DERMASENCE HYALUSOME FEUCH;CRE;50;ml;P&MCO;ja;7;12,22;9,60;18,90;18,90;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
2934942;DERMASENCE MEDIZINAL SHAMP;SHA;200;ml;P&MCO;ja;0;8,98;7,96;13,50;13,50;0,00;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
21367;DERMASENCE MOUSSE REINIG;SCH;200;ml;P&MCO;ja;10;9,33;7,33;14,10;14,10;0,00;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
3647972;DERMASENCE POLANETH;LOT;200;ml;P&MCO;ja;7;12,73;10,00;19,60;19,60;0,00;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
3647995;DERMASENCE POLANETH;LOT;500;ml;P&MCO;ja;4;23,99;18,84;36,90;36,90;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
16633351;DERMASENCE POLANETH LIQUID;TON;75;ml;P&MCO;ja;1;8,86;8,21;13,50;13,50;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
9086859;DERMASENCE REISESET;KPG;2X50;ml;P&MCO;ja;1;7,83;7,52;12,10;12,10;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
16901099;DERMASENCE ROSAMI TAG LF50;EMU;50;ml;P&MCO;ja;7;15,03;11,81;22,90;22,90;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
14171001;DERMASENCE ROSAMIN EMULSIO;EMU;50;ml;P&MCO;ja;8;14,71;11,56;22,40;22,40;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
14171018;DERMASENCE ROSAMIN REINIG;EMU;150;ml;P&MCO;ja;1;9,78;9,78;14,90;14,90;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
15782735;DERMASENCE ROSAMIN SERUM;CRE;30;ml;P&MCO;ja;6;14,64;11,50;22,30;22,30;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
14171030;DERMASENCE ROSAMIN TAG 50;CRE;30;ml;P&MCO;ja;8;13,06;10,26;19,90;19,90;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
17867513;DERMASENCE SEB BERUH GELCR;CRE;50;ml;P&MCO;ja;1;11,54;11,43;17,30;17,30;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
17867565;DERMASENCE SEB LEI T LSF30;CRE;50;ml;P&MCO;ja;1;11,95;10,76;18,20;18,20;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
17867536;DERMASENCE SEB ZINK REPAIR;SCH;50;ml;P&MCO;ja;7;9,69;7,61;14,60;14,60;0,00;;0,00;VK/UVP -10% (Runden auf,95);nein;Nein;Nein;nein, kein Lebensmittel;Ja
3286267;DERMASENCE SEBORRA AKUTROL;GEL;10;ml;P&MCO;ja;3;6,50;5,27;9,90;9,90;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
16144327;DERMASENCE SOLV BABY LSF50;CRE;75;ml;P&MCO;ja;7;9,67;7,60;14,50;14,50;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
12404984;DERMASENCE SOLV MED LSF50+;CRE;150;ml;P&MCO;ja;7;17,40;13,67;26,50;26,50;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
16144333;DERMASENCE SOLV SPR LSF50+;SPR;250;ml;P&MCO;ja;7;17,81;13,99;26,70;26,70;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
7522954;DERMASENCE SOLVINEA LSF30;EMU;150;ml;P&MCO;ja;0;13,76;13,22;20,70;20,70;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
7366655;DERMASENCE TONIC;XPK;200;ml;P&MCO;ja;7;8,35;6,56;12,90;12,90;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
11871732;DERMASENCE VITOP FORTE;CRE;100;ml;P&MCO;ja;7;12,41;9,75;18,90;18,90;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
14294620;DERMASENCE VITOP FORTE;CRE;200;ml;P&MCO;ja;1;19,63;18,60;29,90;29,90;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
16913085;DERMASENCE VITOP FORTE AUG;CRE;15;ml;P&MCO;ja;8;13,06;10,26;19,90;19,90;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
14404706;DERMASENCE VITOP FORTE JUN;CRE;75;ml;P&MCO;ja;1;9,52;9,07;14,50;14,50;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
5961454;DERMASENCE ZINCUTAN;SCH;50;ml;P&MCO;ja;0;9,69;9,53;14,60;14,60;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
3113035;DERMATOP BASISSALBE;SAL;50;g;FIDI;ja;1;5,42;5,37;9,45;9,49;9,45;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;keine Angabe;Ja
13982594;DERMAVEEL;CRE;30;ml;HEEL;ja;4;8,19;7,20;14,70;14,70;14,70;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
2330983;DERMOWAS COMPACT;SEI;100;g;WOLFF;ja;1;4,81;4,05;6,95;6,98;6,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;keine Angabe;Ja
11008068;DERUBA;CRE;30;ml;FGP;ja;1;24,28;23,80;33,95;33,99;33,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
15231998;DESCODERM;LOE;150;ml;SCHUM;ja;0;4,16;3,11;5,95;0,00;5,95;;0,00;MedProd1;ja;Nein;Nein;nein, kein Lebensmittel;Nein
4606343;DESCODERM HAUTDESINFEKTION;LOE;250;ml;SCHUM;ja;1;5,95;5,62;8,95;0,00;8,95;;0,00;MedProd2;ja;Nein;Nein;nein, kein Lebensmittel;Nein
792277;DESCOSEPT AF;LOE;500;ml;SCHUM;ja;0;7,53;7,53;13,90;0,00;13,90;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Nein
15573233;DESCOSEPT SENSITIVE;FLU;1;l;SCHUM;ja;7;12,03;9,95;15,95;0,00;15,95;;0,00;MedProd2;nein;Nein;Nein;nein, kein Lebensmittel;Nein
17195976;DESCOSEPT SENSITIVE WIPES;TUE;60;St;SCHUM;ja;6;8,20;6,99;12,95;0,00;12,95;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
4884881;DESEO;FLU;50;ml;DR.F;ja;1;39,28;37,23;54,95;54,99;54,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
17145932;DESLORATADIN ADGC 5MG FTA;FTA;20;St;ZENTI;ja;1;2,68;2,59;5,15;5,16;5,15;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
5960561;DETIA AMEISEN KOEDERDOSE 2;;2;St;DETIA;ja;1;4,54;4,16;7,35;7,38;7,35;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
2738543;DETIA INSEKTENFREI ELEKTRO;;10;St;DETIA;ja;1;4,03;0,00;4,95;4,95;0,00;;0,00;;nein;Nein;Nein;keine Angabe;Nein
13831197;DEUMAVAN SCHUTZSAL NEUTRAL;FET;100;ml;KAYMO;ja;1;10,50;10,49;15,30;15,30;15,30;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
13831174;DEUMAVAN SCHUTZSAL NEUTRAL;FET;50;ml;KAYMO;ja;1;6,74;6,05;10,10;10,10;10,10;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
11518941;DEVIT TROPFEN 2400 I.E./ML;TEI;10;ml;PA25;ja;1;6,60;6,31;12,30;12,33;12,30;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
12426566;DEVIT TROPFEN 2400 I.E./ML;TEI;3X10;ml;PA25;ja;1;11,64;11,16;20,50;20,50;20,50;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
8596972;DEXAMETHASON MIKRONISIERT;PUL;0.1;g;EURO;ja;1;5,80;4,89;8,45;0,00;8,45;;0,00;OTC Nicht-AM;nein;Ja;Nein;nein, kein Lebensmittel;Nein
4045241;DEXERYL;CRE;250;g;PIERF;ja;1;8,00;6,23;10,95;11,75;10,95;;0,00;VK/UVP (abgerundet auf ,95);nein;Nein;Ja;nein, kein Lebensmittel;Nein
7379385;DEXERYL;CRE;500;g;PIERF;ja;1;11,75;9,85;16,95;17,00;16,95;;0,00;VK/UVP (abgerundet auf ,95);nein;Nein;Ja;nein, kein Lebensmittel;Nein
16666037;DEXFINE PROT SICH PEN30G-5;KAN;100;St;IME-D;ja;9;24,98;16,00;35,67;35,67;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
16666043;DEXFINE PROT SICH PEN30G-8;KAN;100;St;IME-D;ja;9;24,98;16,00;34,95;35,67;34,95;;0,00;MedProd;nein;Nein;Ja;nein, kein Lebensmittel;Nein
16262179;DEXLANCET PROT SICH EINMAL;LAN;100;St;IME-D;ja;15;12,95;5,50;15,95;15,95;15,95;;0,00;MedProd1;nein;Nein;Ja;nein, kein Lebensmittel;Nein
3785786;DEXPANTHENOL;;100;g;CAELO;ja;1;17,70;13,67;0,00;0,00;0,00;;0,00;;nein;Ja;Nein;keine Angabe;Nein
8862764;DEXPANTHENOL ACIS WUND+HEI;CRE;50;g;ACIS;ja;1;2,07;2,07;3,99;3,99;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
976014;DEXTRO ENERGEN CLASSIC;WUE;1;St;KYBEV;ja;2;0,77;0,66;1,00;0,00;1,00;;0,00;;nein;Nein;Nein;ja;Nein
976008;DEXTRO ENERGEN MAGNESIUM;WUE;1;St;KYBEV;ja;2;0,77;0,70;1,00;0,00;1,00;;0,00;;nein;Nein;Nein;ja;Nein
3347891;DEXTRO ENERGY KAKAO;TAE;46;g;KYBEV;ja;1;0,77;0,71;1,20;0,00;1,20;;0,00;;nein;Nein;Nein;ja;Nein
272359;DEXTROPUR;PUL;400;g;KYBEV;ja;1;2,30;2,01;3,25;0,00;3,25;;0,00;;nein;Nein;Keine Angabe;ja;Nein
11523876;DHU SILICEA PENTARKAN BIND;TAB;80;St;DHU;ja;1;10,20;8,64;17,95;17,97;17,95;;0,00;VK/UVP (abgerundet v2);ja;Nein;Nein;nein, kein Lebensmittel;Nein
10087189;DIARRHOESAN SAFT;SAF;200;ml;LOGE;ja;0;5,30;4,88;9,90;9,90;9,90;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
14279336;DIAVERDE 100MG HARTKAPSELN;HKP;10;St;KLIN;ja;14;5,34;3,20;9,95;9,97;9,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
3424841;DICLAC SCHMERZGEL 1%;GEL;100;g;HEXAL;ja;1;6,80;5,19;12,70;12,71;12,70;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
4704206;DICLO RATIO SCHMERZGEL;GEL;100;g;RATIO;ja;6;7,94;6,99;11,95;14,40;11,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
10929990;DICLO RATIO SCHMERZGEL;GEL;150;g;RATIO;ja;1;10,33;5,90;17,95;18,20;17,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
4704198;DICLO RATIO SCHMERZGEL;GEL;50;g;RATIO;ja;20;4,28;2,62;6,95;8,00;6,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
14170042;DICLO RATIOPHARM 25MG FTA;FTA;20;St;RATIO;ja;1;5,34;3,56;9,97;9,97;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
11354149;DICLOFENAC PUREN GEL;GEL;100;g;ALPHI;ja;2;3,55;3,21;6,80;6,84;6,80;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
16705004;DICLOX FORTE 20MG/G GEL;GEL;100;g;RATIO;ja;29;10,33;6,31;17,95;18,20;17,95;;0,00;VK/UVP (abgerundet auf ,95);ja;Nein;Nein;nein, kein Lebensmittel;Nein
16705010;DICLOX FORTE 20MG/G GEL;GEL;150;g;RATIO;ja;3;13,81;8,10;22,95;23,50;22,95;;0,00;VK/UVP (abgerundet auf ,95);ja;Nein;Nein;nein, kein Lebensmittel;Nein
16704996;DICLOX FORTE 20MG/G GEL;GEL;50;g;RATIO;ja;7;5,14;3,14;7,95;9,60;7,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
8915839;DIGESTODORON;TAB;100;St;WELED;ja;1;11,35;10,07;19,95;19,99;19,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2760181;DILTIAZEM HYDROCHLORID;;5;g;CAELO;ja;2;17,10;13,15;28,50;0,00;28,50;;0,00;;nein;Ja;Nein;keine Angabe;Nein
6938658;DIMENHYDRINAT AL 50MG;TAB;20;St;ALIUD;ja;3;1,91;1,47;3,65;3,68;3,65;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
